Model,Epoch,Train Loss,Train Acc,Val Loss,Val Acc
resnet50,28,0.019529399704933167,0.35214,0.02126344909667969,0.3294
resnet50,29,0.019225316410064697,0.3594,0.02095724353790283,0.3343
resnet50,30,0.01891619860172272,0.36694,0.02084798872470856,0.3375
resnet50,31,0.018478594634532927,0.37782,0.02073198206424713,0.3392
resnet50,32,0.018106699590682982,0.39008,0.020560359120368958,0.3479
resnet50,33,0.017729903457164766,0.40138,0.02050021939277649,0.3502
resnet50,34,0.017356763627529144,0.4085,0.020422934222221373,0.3493
resnet50,35,0.016973985352516173,0.42174,0.02021642324924469,0.3601
resnet50,36,0.016624504408836366,0.42926,0.020056005454063417,0.3628
resnet50,37,0.016377636616230012,0.43642,0.020003976225852968,0.366
resnet50,38,0.015905651762485505,0.45062,0.019976568961143495,0.3651
resnet50,39,0.015626913235187532,0.45928,0.01984245309829712,0.3731
resnet50,40,0.015170371809005738,0.47176,0.0197618549823761,0.3726
resnet50,41,0.014895594110488892,0.4775,0.01985639889240265,0.3767
resnet50,42,0.01453291799068451,0.49084,0.01977309856414795,0.3797
resnet50,43,0.014145157275199891,0.50236,0.01979700970649719,0.381
resnet50,44,0.013820468220710754,0.51352,0.019756270861625673,0.3798
resnet50,45,0.013425694649219513,0.52492,0.01969573187828064,0.3854
resnet50,46,0.013199972796440125,0.53122,0.019685543394088744,0.3924
resnet50,47,0.012708222835063935,0.5488,0.01976598949432373,0.3863
resnet50,48,0.012493281538486481,0.5536,0.01976718657016754,0.3872
resnet50,49,0.012131903748512267,0.56426,0.019711252689361573,0.3958
mobilenet_v2,0,0.036004845352172854,0.01322,0.03590811815261841,0.0184
mobilenet_v2,1,0.03542346076965332,0.02122,0.03524537396430969,0.0315
mobilenet_v2,2,0.034677551307678224,0.03018,0.03439232358932495,0.0423
mobilenet_v2,3,0.0338894246673584,0.03932,0.033653082513809204,0.0499
mobilenet_v2,4,0.03326008057594299,0.04802,0.03304853067398071,0.0631
mobilenet_v2,5,0.03274756320953369,0.0548,0.03247657725811005,0.0723
mobilenet_v2,6,0.03230490559577942,0.06312,0.032030029559135434,0.0757
mobilenet_v2,7,0.03190230215549469,0.06878,0.03154298422336578,0.0853
